molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL511115,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,63.0,active
CHEMBL74078,O=C(O)c1ccc(-c2cc3cccnc3c(-c3cccc([N+](=O)[O-])c3)n2)cc1,1.0,active
CHEMBL77826,O=C(O)c1ccc(-c2cc3cccnc3c(-c3ccc4nonc4c3)n2)cc1,1.5,active
CHEMBL97817,CCc1nc(-c2cc(OCC3CC3)cc(OCC3CC3)c2)c2cc(OC)c(OCCO)cc2n1,22.0,active
CHEMBL319809,CCc1nc(-c2cc(OCC3CC3)cc(OCC3CC3)c2)c2cc(OCCO)c(OCCO)cc2n1,100000.0,inactive
CHEMBL330641,COc1cc2nc(C)nc(-c3cc(O)cc(O)c3)c2cc1OC,2000.0,intermediate
CHEMBL420454,COc1nc(-c2cc(OCC3CC3)cc(OCC3CC3)c2)c2cc(OC)c(OCCO)cc2n1,140.0,active
CHEMBL161115,O=C(O)c1ccc(-c2cc3cccnc3c(-c3cccc(Cl)c3)n2)cc1,2.0,active
CHEMBL95979,COc1cc2c(-c3cc(OCC4CC4)cc(OCC4CC4)c3)nc(-c3cccs3)nc2cc1OCCO,3000.0,intermediate
CHEMBL161714,O=S(=O)(Oc1cc2cccnc2c(-c2cccc(Cl)c2)n1)C(F)(F)F,48.0,active
CHEMBL351613,O=[N+]([O-])c1cccc(-c2nc(-c3cccnc3)cc3cccnc23)c1,3.0,active
CHEMBL351915,O=[N+]([O-])c1cccc(-c2nccc3cccnc23)c1,4100.0,intermediate
CHEMBL98662,COc1cc2c(-c3cc(OCC4CC4)cc(OCC4CC4)c3)nc(OCCO)nc2cc1OCCO,90.0,active
CHEMBL158286,N#Cc1cccc(-c2nc(OS(=O)(=O)C(F)(F)F)cc3cccnc23)c1,72.0,active
CHEMBL95715,CCc1nc(-c2cc(OCC3CC3)cc(OCC3CC3)c2)c2cc(OC)c(O)cc2n1,650.0,active
CHEMBL318444,CCc1nc(-c2cc(OCC3CC3)cc(OCC3CC3)c2)c2ccc(OCCO)cc2n1,850.0,active
CHEMBL99101,CCSc1nc(-c2cc(OCC3CC3)cc(OCC3CC3)c2)c2cc(OC)c(OCCO)cc2n1,700.0,active
CHEMBL162188,O=[N+]([O-])c1cccc(-c2nc(-c3ccco3)cc3cccnc23)c1,8.0,active
CHEMBL99470,CCc1nc(-c2cc(OCC3CC3)cc(OCC3CC3)c2)c2cc(OC)c(OCc3ccccc3)cc2n1,100000.0,inactive
CHEMBL161740,N#Cc1cccc(-c2nc(-c3ccc(C(=O)O)cc3)cc3cccnc23)c1,4.0,active
CHEMBL96034,COc1cc2nc(C)nc(-c3cc(OCC4CC4)cc(OCC4CC4)c3)c2cc1OC,800.0,active
CHEMBL97785,COc1cc2c(-c3cc(OCC4CC4)cc(OCC4CC4)c3)nc(NCCCO)nc2cc1OCCO,230.0,active
CHEMBL418785,CCCCc1nc(-c2cc(OCC3CC3)cc(OCC3CC3)c2)c2cc(OC)c(OCCO)cc2n1,300.0,active
CHEMBL98730,COc1cc2c(-c3cc(OCC4CC4)cc(OCC4CC4)c3)nc(N3CCOCC3)nc2cc1OCCO,1200.0,intermediate
CHEMBL97866,CCc1nc(-c2cc(OCC3CC3)cc(OCC3CC3)c2)c2cc(OC)c(OCC3CC3)cc2n1,540.0,active
CHEMBL345812,Nc1cc2cccnc2c(-c2cccc([N+](=O)[O-])c2)n1,1600.0,intermediate
CHEMBL161602,CN1CCN(C(=O)c2cc3cccnc3c(-c3cccc([N+](=O)[O-])c3)n2)CC1,2000.0,intermediate
CHEMBL97214,CCOc1nc(-c2cc(OCC3CC3)cc(OCC3CC3)c2)c2cc(OC)c(OCCO)cc2n1,60.0,active
CHEMBL420999,COc1cc2nc(C)nc(-c3cc(OC(C)C)cc(OC(C)C)c3)c2cc1OC,1200.0,intermediate
CHEMBL97213,CCOC(=O)COc1cc2nc(C)nc(-c3cc(OCC4CC4)cc(OCC4CC4)c3)c2cc1OC,100000.0,inactive
CHEMBL161465,O=[N+]([O-])c1cccc(-c2nc(-c3ccccc3)cc3cccnc23)c1,2.0,active
CHEMBL345360,Cc1ccccc1-c1cc2cccnc2c(-c2cccc([N+](=O)[O-])c2)n1,70.0,active
CHEMBL96039,COc1cc2c(-c3cc(OCC4CC4)cc(OCC4CC4)c3)nc(OCCCO)nc2cc1OCCO,130.0,active
CHEMBL351900,O=[N+]([O-])c1cccc(-c2nc(OS(=O)(=O)C(F)(F)F)cc3cccnc23)c1,11.0,active
CHEMBL431806,COc1cc2c(-c3cc(OCC4CC4)cc(OCC4CC4)c3)nc(-c3cc(OCC4CC4)cc(OCC4CC4)c3)nc2cc1OCCO,8500.0,intermediate
CHEMBL63,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,390.0,active
CHEMBL351500,C=CCc1cc2cccnc2c(-c2cccc([N+](=O)[O-])c2)n1,7.0,active
CHEMBL91571,COc1ccc(C(=O)NCC(=O)NO)cc1OC1CCCC1,15.6,active
CHEMBL90375,COc1ccc(C(=O)NC(C)C(=O)NO)cc1OC1CCCC1,20.2,active
CHEMBL91551,COc1ccc(C2=NOC(C)(C(=O)NO)C2)cc1OC1CCCC1,10.0,active
CHEMBL42126,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)cc1OC1CCCC1,0.8,active
CHEMBL307646,COc1ccc(C2=NOC(C(=O)NO)C2)cc1OC1CCCC1,2.7,active
CHEMBL182703,O=C1Nc2c(Cl)cc(-c3ccccc3)cc2C2(CCCCC2)N1,1420.0,intermediate
CHEMBL361469,O=C1Nc2c(Cl)cc(-c3ccccn3)cc2C2(CCCCC2)N1,1800.0,intermediate
CHEMBL184945,O=C1Nc2c(Cl)cc(-c3cccnc3)cc2C2(CCCCC2)N1,1550.0,intermediate
CHEMBL185208,O=C1Nc2c(Cl)cc(-c3ccncc3)cc2C2(CCCCC2)N1,1010.0,intermediate
CHEMBL185304,O=C1Nc2c(Cl)cc(-c3ccc(C(=O)O)cc3)cc2C2(CCCCC2)N1,470.0,active
CHEMBL427505,O=C1Nc2c(Cl)cc(-c3cccc(C(=O)O)c3)cc2C2(CCCCC2)N1,740.0,active
CHEMBL185588,CN1CCN(C(=O)c2ccccc2-c2cc(Cl)c3c(c2)C2(CCCCC2)NC(=O)N3)CC1,15700.0,inactive
CHEMBL185296,NC(=O)c1ccc(-c2cc(Cl)c3c(c2)C2(CCCCC2)NC(=O)N3)cc1,690.0,active
CHEMBL366149,CN(C)CCNC(=O)c1ccc(-c2cc(Cl)c3c(c2)C2(CCCCC2)NC(=O)N3)cc1,1630.0,intermediate
CHEMBL363084,CN(C)CCNC(=O)c1cccc(-c2cc(Cl)c3c(c2)C2(CCCCC2)NC(=O)N3)c1,1590.0,intermediate
CHEMBL427513,CN(C)CCCNC(=O)c1ccc(-c2cc(Cl)c3c(c2)C2(CCCCC2)NC(=O)N3)cc1,1500.0,intermediate
CHEMBL182617,CN(C)CCCNC(=O)c1cccc(-c2cc(Cl)c3c(c2)C2(CCCCC2)NC(=O)N3)c1,1460.0,intermediate
CHEMBL183465,CN1CCN(C(=O)c2ccc(-c3cc(Cl)c4c(c3)C3(CCCCC3)NC(=O)N4)cc2)CC1,1700.0,intermediate
CHEMBL185370,CN1CCN(C(=O)c2cccc(-c3cc(Cl)c4c(c3)C3(CCCCC3)NC(=O)N4)c2)CC1,1310.0,intermediate
CHEMBL184279,N#CCOc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,1700.0,intermediate
CHEMBL183965,O=C1Nc2c(Cl)ccc(OCCO)c2C2(CCCCC2)N1,12200.0,inactive
CHEMBL359890,CCOC(=O)c1ccc(COc2ccc(Cl)c3c2C2(CCCCC2)NC(=O)N3)o1,1020.0,intermediate
CHEMBL183280,O=C(O)COc1ccc(Cl)c2c1C1(CCCCC1)NC(=O)N2,15000.0,inactive
CHEMBL183156,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1ccc(C(=O)O)cc1,101000.0,inactive
CHEMBL362719,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1ccc(F)cc1,101000.0,inactive
CHEMBL184837,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1c(O)cccc1C(=O)O,58250.0,inactive
CHEMBL363673,Cc1cccc(C(=O)O)c1/N=c1\sc(-c2ccc(Cl)cc2)nn1C,20500.0,inactive
CHEMBL182227,Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1cccc(C(=O)O)c1O,14200.0,inactive
