,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL511115,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,active,343.4230000000002,4.052780000000003,1.0,4.0,7.200659450546418
1,CHEMBL74078,O=C(O)c1ccc(-c2cc3cccnc3c(-c3cccc([N+](=O)[O-])c3)n2)cc1,active,371.3520000000001,4.570200000000003,1.0,5.0,9.0
2,CHEMBL77826,O=C(O)c1ccc(-c2cc3cccnc3c(-c3ccc4nonc4c3)n2)cc1,active,368.3520000000001,4.198200000000003,1.0,6.0,8.823908740944319
3,CHEMBL97817,CCc1nc(-c2cc(OCC3CC3)cc(OCC3CC3)c2)c2cc(OC)c(OCCO)cc2n1,active,464.56200000000024,4.816500000000005,1.0,7.0,7.657577319177793
4,CHEMBL319809,CCc1nc(-c2cc(OCC3CC3)cc(OCC3CC3)c2)c2cc(OCCO)c(OCCO)cc2n1,inactive,494.5880000000003,4.179000000000004,2.0,8.0,4.0
6,CHEMBL420454,COc1nc(-c2cc(OCC3CC3)cc(OCC3CC3)c2)c2cc(OC)c(OCCO)cc2n1,active,466.5340000000003,4.262700000000004,1.0,8.0,6.853871964321762
7,CHEMBL161115,O=C(O)c1ccc(-c2cc3cccnc3c(-c3cccc(Cl)c3)n2)cc1,active,360.8,5.315400000000003,1.0,3.0,8.698970004336019
9,CHEMBL161714,O=S(=O)(Oc1cc2cccnc2c(-c2cccc(Cl)c2)n1)C(F)(F)F,active,388.7540000000001,4.178600000000001,0.0,5.0,7.318758762624412
10,CHEMBL351613,O=[N+]([O-])c1cccc(-c2nc(-c3cccnc3)cc3cccnc23)c1,active,328.331,4.267000000000002,0.0,5.0,8.522878745280337
12,CHEMBL98662,COc1cc2c(-c3cc(OCC4CC4)cc(OCC4CC4)c3)nc(OCCO)nc2cc1OCCO,active,496.56000000000034,3.6252000000000026,2.0,9.0,7.045757490560675
13,CHEMBL158286,N#Cc1cccc(-c2nc(OS(=O)(=O)C(F)(F)F)cc3cccnc23)c1,active,379.319,3.3968800000000012,0.0,6.0,7.142667503568732
14,CHEMBL95715,CCc1nc(-c2cc(OCC3CC3)cc(OCC3CC3)c2)c2cc(OC)c(O)cc2n1,active,420.5090000000001,5.151000000000006,1.0,6.0,6.187086643357144
15,CHEMBL318444,CCc1nc(-c2cc(OCC3CC3)cc(OCC3CC3)c2)c2ccc(OCCO)cc2n1,active,434.5360000000002,4.807900000000005,1.0,6.0,6.070581074285707
